name,sample,flat
salt,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.111406662926.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.111112810409.h5
sugar,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.112437559241.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.112150224200.h5
coffee,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.113203731733.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.113536540419.h5
rice flour,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.114645133368.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.114412446951.h5
corn flour,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.115319809735.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/powders/series.160803.115719195025.h5
